gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	5	1	6	4	2	3	7	8
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.123
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.076	0.016	0.0	0.059	0.059	0.085	0.034	0.07
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.076	0.016	0.0	0.059	0.059	0.085	0.034	0.07
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.076	0.016	0.0	0.059	0.059	0.085	0.034	0.07
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.076	0.016	0.0	0.059	0.059	0.085	0.034	0.07
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.121	0.134	0.033	0.147	0.164	0.197	0.069	0.246
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.121	0.134	0.033	0.147	0.164	0.197	0.069	0.246
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.121	0.134	0.033	0.147	0.164	0.197	0.069	0.246
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.076	0.134	0.017	0.147	0.072	0.197	0.069	0.105
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.076	0.134	0.017	0.147	0.072	0.197	0.069	0.105
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.076	0.134	0.017	0.147	0.072	0.197	0.069	0.105
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.175
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.175
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.175
BMPR1A	P36894	True	BMR1A_HUMAN	MIS receptor 1	CPI-CS07557A266	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS05426BFFA	0.045	0.097	0.017	0.074	0.046	0.128	0.034	0.053
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS0DEBE7B69	0.045	0.097	0.017	0.074	0.046	0.128	0.034	0.053
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS05426BFFA	0.045	0.097	0.017	0.074	0.046	0.128	0.034	0.053
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS0DEBE7B69	0.045	0.097	0.017	0.074	0.046	0.128	0.034	0.053
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS008C9D6E5	0.0	0.005	0.0	0.015	0.0	0.009	0.0	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS085E95BC1	0.0	0.005	0.0	0.015	0.0	0.009	0.0	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS008C9D6E5	0.0	0.005	0.0	0.015	0.0	0.009	0.0	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS085E95BC1	0.0	0.005	0.0	0.015	0.0	0.009	0.0	0.0
IL10RA	Q13651	True	I10R1_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.0	0.0	0.0	0.0	0.007	0.017	0.0	0.0
IL10RB	Q08334	True	I10R2_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.0	0.0	0.0	0.0	0.007	0.017	0.0	0.0
IL10RB	Q08334	True	I10R2_HUMAN	IL26 receptor	CPI-CS0317FAF76	0.0	0.011	0.0	0.029	0.026	0.043	0.017	0.018
IL11RA	Q14626	True	I11RA_HUMAN	IL11 receptor	CPI-CS0DDFD82E7	0.061	0.016	0.017	0.044	0.046	0.026	0.017	0.07
IL6ST	P40189	True	IL6RB_HUMAN	IL11 receptor	CPI-CS0DDFD82E7	0.061	0.016	0.017	0.044	0.046	0.026	0.017	0.07
IL6ST	P40189	True	IL6RB_HUMAN	LIFR	CPI-CS0E661878B	0.091	0.032	0.0	0.088	0.105	0.103	0.052	0.035
IL6ST	P40189	True	IL6RB_HUMAN	OSMR	CPI-CS06D50EBF8	0.015	0.005	0.0	0.044	0.033	0.026	0.0	0.0
IL2RB	P14784	True	IL2RB_HUMAN	IL15 receptor	CPI-CS06E556972	0.0	0.0	0.0	0.0	0.02	0.009	0.0	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL15 receptor	CPI-CS06E556972	0.0	0.0	0.0	0.0	0.02	0.009	0.0	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL7 receptor	CPI-CS0AB9C7139	0.0	0.011	0.0	0.0	0.033	0.0	0.0	0.0
IL17RA	Q96F46	True	I17RA_HUMAN	IL17 receptor AE	CPI-CS0BA342294	0.045	0.07	0.017	0.074	0.105	0.188	0.034	0.193
IL17RE	Q8NFR9	True	I17RE_HUMAN	IL17 receptor AE	CPI-CS0BA342294	0.045	0.07	0.017	0.074	0.105	0.188	0.034	0.193
IL18	Q14116	True	IL18_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0
IL18R1	Q13478	True	IL18R_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0
IL18RAP	O95256	True	I18RA_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0
IL20RA	Q9UHF4	True	I20RA_HUMAN	IL26 receptor	CPI-CS0317FAF76	0.0	0.011	0.0	0.029	0.026	0.043	0.017	0.018
IL7R	P16871	True	IL7RA_HUMAN	IL7 receptor	CPI-CS0AB9C7139	0.0	0.011	0.0	0.0	0.033	0.0	0.0	0.0
LIFR	P42702	True	LIFR_HUMAN	LIFR	CPI-CS0E661878B	0.091	0.032	0.0	0.088	0.105	0.103	0.052	0.035
AMHR2	Q16671	True	AMHR2_HUMAN	MIS receptor 1	CPI-CS07557A266	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
AMHR2	Q16671	True	AMHR2_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
OSMR	Q99650	True	OSMR_HUMAN	OSMR	CPI-CS06D50EBF8	0.015	0.005	0.0	0.044	0.033	0.026	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.015	0.043	0.0	0.015	0.007	0.043	0.052	0.018
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.0	0.0	0.0	0.015	0.007	0.0	0.017	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.015	0.043	0.0	0.015	0.007	0.043	0.052	0.018
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.0	0.0	0.0	0.015	0.007	0.0	0.017	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.015	0.043	0.0	0.015	0.007	0.043	0.052	0.018
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.015	0.043	0.0	0.015	0.007	0.043	0.052	0.018
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.0	0.0	0.0	0.015	0.007	0.0	0.017	0.0
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.0	0.0	0.0	0.015	0.007	0.0	0.017	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	0.0	0.011	0.0	0.0	0.243	0.0	0.0	0.018
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS0CC738ABC	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.0	0.0	0.0	0.044	0.007	0.017	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	0.091	0.21	0.05	2.074	0.053	0.197	0.086	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	0.015	0.0	0.017	0.191	0.02	0.009	0.0	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	0.015	0.57	0.0	0.603	0.007	0.034	0.017	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.091	0.21	0.05	2.074	0.053	0.197	0.086	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.091	0.043	0.017	2.926	0.112	0.231	0.017	0.035
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.0	0.0	0.0	0.029	0.033	0.0	0.0	0.07
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS0AD0ED887	0.242	0.065	0.0	0.044	0.0	0.137	0.0	0.018
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.0	0.0	0.0	0.074	0.026	0.0	0.0	0.0
TNFRSF10C	O14798	False	TR10C_HUMAN		CPI-SS01ECFDA18	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0
LEFTY2	O00292	False	LFTY2_HUMAN		CPI-SS033A27302	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0
LEFTY1	O75610	False	LFTY1_HUMAN		CPI-SS0E9F84F1F	0.0	1.167	0.2	0.147	0.0	0.607	0.31	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.152	0.075	0.0	0.029	0.211	0.068	0.0	0.351
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.152	0.075	0.0	0.029	0.211	0.068	0.0	0.351
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.03	0.118	0.017	0.118	0.026	0.393	0.172	0.018
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.152	0.075	0.0	0.029	0.211	0.068	0.0	0.351
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.03	0.118	0.017	0.118	0.026	0.393	0.172	0.018
DLL1	O00548	False	DLL1_HUMAN		CPI-SS047232C64	0.152	0.075	0.0	0.029	0.211	0.068	0.0	0.351
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	0.03	0.118	0.017	0.118	0.026	0.393	0.172	0.018
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS0938C6980	0.061	0.005	0.0	0.029	0.118	0.094	0.052	0.018
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS00AEC3818	0.0	0.0	0.033	0.015	0.033	0.0	0.0	0.035
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0AFE077D8	0.0	0.027	0.0	0.015	0.013	0.034	0.0	0.018
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0AE4CF4E7	0.0	0.027	0.0	0.015	0.013	0.034	0.0	0.018
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.152	0.022	0.0	0.044	0.007	0.051	0.0	0.018
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS09FAC4977	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.044	0.007	0.017	0.0	0.0
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0E32BEF02	0.015	0.312	0.017	0.118	0.007	0.538	0.052	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0B2D5BA95	0.015	0.312	0.017	0.118	0.007	0.538	0.052	0.0
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0D81C6C1D	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.018
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS002673EFE	0.015	0.312	0.017	0.118	0.007	0.538	0.052	0.0
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0B8083B44	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.018
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS01469637C	0.03	0.038	0.0	0.015	0.059	0.128	0.0	0.105
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.045	0.124	0.033	0.0	0.072	0.103	0.086	0.088
NRG2	O14511	False	NRG2_HUMAN		CPI-SS0E063192D	0.045	0.124	0.033	0.0	0.072	0.103	0.086	0.088
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053
BTC	P35070	False	BTC_HUMAN		CPI-SS0F0D7F25C	0.015	0.059	0.017	0.015	0.059	0.094	0.017	0.053
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	0.0	0.07	0.017	0.029	0.007	0.111	0.086	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053
NRG1	Q02297	False	NRG1_HUMAN		CPI-SC0E5218AA4	0.0	0.07	0.017	0.029	0.007	0.111	0.086	0.0
GDF11	O95390	False	GDF11_HUMAN		CPI-SC001669E22	0.106	0.097	0.0	0.044	0.099	0.214	0.034	0.14
GDF11	O95390	False	GDF11_HUMAN		CPI-SC017215F7F	0.106	0.097	0.0	0.044	0.099	0.214	0.034	0.14
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.018
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.0	0.016	0.033	0.044	0.118	0.026	0.086	0.544
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.015	0.043	0.017	0.0	0.02	0.068	0.086	0.07
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.0	0.016	0.033	0.044	0.118	0.026	0.086	0.544
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.015	0.043	0.017	0.0	0.02	0.068	0.086	0.07
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.545	0.473	0.233	0.382	0.309	0.778	0.086	0.14
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.0	0.011	0.0	0.074	0.013	0.0	0.0	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.0	0.011	0.0	0.0	0.007	0.026	0.0	0.0
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.015	0.016	0.017	0.088	0.303	0.0	0.0	0.316
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS08718E4FB	0.0	0.016	0.033	0.044	0.118	0.026	0.086	0.544
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0DA366C78	0.015	0.043	0.017	0.0	0.02	0.068	0.086	0.07
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0A5B945E3	0.545	0.473	0.233	0.382	0.309	0.778	0.086	0.14
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0865716E5	0.0	0.011	0.0	0.074	0.013	0.0	0.0	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0D41C7AF5	0.0	0.011	0.0	0.0	0.007	0.026	0.0	0.0
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS07CA5A6F1	0.015	0.016	0.017	0.088	0.303	0.0	0.0	0.316
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.015	0.043	0.017	0.0	0.02	0.068	0.086	0.07
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.0	0.027	0.0	0.029	0.026	0.034	0.017	0.018
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS02AFCED82	0.03	0.005	0.0	0.25	0.013	0.026	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.0	0.027	0.0	0.029	0.026	0.034	0.017	0.018
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS07BECB892	0.03	0.005	0.0	0.25	0.013	0.026	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.0	0.027	0.0	0.029	0.026	0.034	0.017	0.018
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS09F973C1A	0.03	0.005	0.0	0.25	0.013	0.026	0.0	0.0
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.152	0.215	0.1	0.059	0.171	0.171	0.052	0.193
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0859C173B	0.0	0.011	0.0	0.0	0.007	0.0	0.0	0.0
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS019C98396	0.0	0.011	0.0	0.0	0.007	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	0.242	0.134	0.033	1.279	0.75	0.453	0.086	1.053
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS046F6F0C1	0.242	0.134	0.033	1.279	0.75	0.453	0.086	1.053
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0762B455F	0.242	0.134	0.033	1.279	0.75	0.453	0.086	1.053
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	0.061	0.194	0.017	0.176	0.033	0.282	0.103	0.07
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.242	0.134	0.033	1.279	0.75	0.453	0.086	1.053
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.061	0.194	0.017	0.176	0.033	0.282	0.103	0.07
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	0.03	0.022	0.0	0.044	0.039	0.017	0.034	0.0
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.0	0.027	0.0	0.029	0.0	0.009	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.136	0.054	0.033	0.25	0.079	0.077	0.017	0.053
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.136	0.054	0.033	0.25	0.079	0.077	0.017	0.053
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.136	0.054	0.033	0.25	0.079	0.077	0.017	0.053
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.136	0.054	0.033	0.25	0.079	0.077	0.017	0.053
FZD6	O60353	False	FZD6_HUMAN		CPI-SS082AD7B6A	0.152	0.134	0.0	0.088	0.099	0.188	0.034	0.123
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0FA326344	0.152	0.134	0.0	0.088	0.099	0.188	0.034	0.123
GDF9	O60383	False	GDF9_HUMAN		CPI-SC0FDB4B6D9	0.0	0.011	0.0	0.0	0.0	0.0	0.017	0.0
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.136	0.237	0.017	0.074	0.211	0.265	0.103	0.246
FZD7	O75084	False	FZD7_HUMAN		CPI-SS070C51D94	0.061	0.005	0.0	0.029	0.0	0.017	0.0	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0B89DD8C1	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.015	0.0	0.0	0.0	0.007	0.0	0.0	0.018
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.606	0.323	0.017	0.118	0.066	0.701	0.207	0.158
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.606	0.323	0.017	0.118	0.066	0.701	0.207	0.158
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.091	0.091	0.017	0.015	0.086	0.103	0.069	0.281
